index,date,startup,vertical,subvertical,city,investors,round,amount
1766,2016-01-29,BitGiving,Consumer Internet,Crowd Funding Platform,New Delhi,"Harminder Sahni, Krishna Mehra, Sanjay Bakshi",Seed Funding,0.0
1767,2016-01-29,Rare Media,Technology,Mobile & Cloud based App developer,New Delhi,Info Edge (India) Ltd,Series D,"11,00,000"
1768,2016-01-29,TinMen,Consumer Internet,Food Delivery Platform,Hyderabad,Lead Angel Network,Seed Funding,0.0
1769,2016-01-29,CodingLabs,Technology,Coding Skill Showcase & Resume Builder,Hyderabad,Vineet Nalla,Seed Funding,0.0
1770,2016-01-30,FindUrClass,Consumer Internet,Hobby & Activity Class Aggregator,Mumbai,"Amit Patni, Anirudh Damani, Samir Shah",Seed Funding,0.0
1771,2016-01-30,DesignBids,Consumer Internet,Interior Design Marketplace,New Delhi,Indian Angel Network,Seed Funding,0.0
1772,2015-01-12,Black White Orange Brands,Brand Licensing Startup,Series D,Mumbai,YouWeCan Ventures,Seed Funding,0.0
1773,2015-01-12,Biteclub,Gourmet Food Discovery & Delivery platform,Series D,Gurgaon,growX ventures,Series D,0.0
1774,2015-01-12,Patel Logistics,Transportation & Logistics Platform,Series D,Mumbai,Frontline Strategy,Series D,"56,00,000"
1775,2015-01-12,Godof Hospitals,Digital Healthcare,Series D,New Delhi,Pankaj Gupta,Seed Funding,"20,00,000"
1776,2015-02-12,RoomsTonite,Last Minute Hotel Booking App,Series D,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,"15,00,000"
1777,2015-02-12,Kaaryah,Womens Fashion Wear Portal,Series D,New Delhi,"The Saha Fund, TV Mohandas Pai",Series D,0.0
1778,2015-03-12,Anakage,Product Learning platform,Series D,Bangalore,CIO Angel Network (CAN),Seed Funding,0.0
1779,2015-03-12,EasyKhaana,Online Food ordering & Delivery platform,Series D,New Delhi,Undisclosed investors,Seed Funding,"1,00,000"
1780,2015-03-12,Eckovation,Social Learning Platform,Series D,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,0.0
1781,2015-03-12,Fitcircle,Social Fitness platform,Series D,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,0.0
1782,2015-04-12,Applop,On Demand Mobile app developer,Series D,Kolkata,GHV Accelerator,Seed Funding,"1,00,000"
1783,2015-04-12,CaRPM,Car Maintenance & Management mobile app,Series D,Gurgaon,GHV Accelerator,Seed Funding,"1,00,000"
1784,2015-04-12,NDTV Wedding portal,Online Wedding Marketplace,Series D,New Delhi,CerraCap,Series D,"2,00,00,000"
1785,2015-04-12,Splitkart,Splitting Bills Mobile App,Series D,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,0.0
1786,2015-07-12,Customfurnish,Custom Made furniture e-tailer,Series D,Hyderabad,Agnus Capital,Series D,"45,00,000"
1787,2015-07-12,Vlurn,eLearning platform,Series D,Mumbai,Vidyadhar Sarfare,Seed Funding,0.0
1788,2015-07-12,Leaf Wearables,Smart Safety Wearable Devices,Series D,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,"2,50,000"
1789,2015-07-12,Coolshare,Cab Sharing service Mobile app,Series D,Mumbai,Gopal Aggarwal,Seed Funding,"1,00,000"
1790,2015-08-12,mFicient,Cloud Enterprise Mobility Platform,Series D,New Delhi,Undisclosed investors,Seed Funding,0.0
1791,2015-08-12,HeyBiz,Online Shopping Assistant Mobile app,Series D,New Delhi,Shopclues,Seed Funding,0.0
1792,2015-08-12,Yumist,Home Cooked Food Order & Delivery platform,Series D,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Series D,"20,00,000"
1793,2015-09-12,Jigsaw Academy,Online School for Analytics learning,Series D,Bangalore,Manipal Global Education Services,Series D,"30,00,000"
1794,2015-09-12,JumboBasket,eCommerce returns etailer,Series D,Chandigarh,Chandigarh Angels Network,Seed Funding,0.0
1795,2015-10-12,HomeStudio,Online Branded Furniture etailer,Series D,Bangalore,Bren Corporation,Series D,"50,00,000"
1796,2015-10-12,PropheSee,Digital Analytics Platform,Series D,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,"5,00,000"
1797,2015-10-12,i2e1,Internet Network Infrastructure Services,Series D,New Delhi,GrowX Ventures,Seed Funding,"5,00,000"
1798,2015-10-12,Holisol Logistics,Supply Chain & Logistics Solutions,Series D,New Delhi,CLSA Capital Partners ARIA IV Funds,Series D,"1,00,00,000"
1799,2015-10-12,Stay Simple Resorts,Holiday Resort Chain,Series D,Bangalore,"Mr. Sudhir & Ms. Shalini Sethi, Mr. Praveen Someshwar",Seed Funding,0.0
1800,2015-10-12,Paynear,Mobile Point of Sale solutions,Series D,Hyderabad,Mitesh Majithia,Series D,"25,00,000"
1801,2015-10-12,Chillr,Peer-to-Peer Money Transfer & Recharge App,Series D,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Series D,"7,00,00,000"
1802,2015-11-12,EureQa,Test Automation SAAS platform,Series D,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,"6,00,000"
1803,2015-11-12,LocalCircles,Citizens Engagement Platform,Series D,Noida,Anand Mahindra,Series D,0.0
1804,2015-11-12,GetFocus,Indoor Navigation & Analytics Solutions,Series D,Mumbai,Undisclosed investors,Seed Funding,0.0
1805,2015-11-12,OnlineRTI,Online RTI application services,Series D,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,"1,50,000"
1806,2015-11-12,Powerstores,ECommerce Website Creation SAAS platform,Series D,Goa,Extreme Venture Partners\\xc2\\xa0 William Bissell,Seed Funding,0.0
1807,2015-11-12,Intelligent Interfaces,Interface development platform for Government officials,Series D,Bangalore,"Sachin Bansal, Binny Bansal",Seed Funding,0.0
1808,2015-12-14,Capricoast,Modular Furnishings Marketplace,Series D,Bangalore,"Accel Partners India, RB Investments",Series D,"35,00,000"
1809,2015-12-14,JetSetGo,Private Jet Bookings Marketplace,Series D,Bangalore,Puneet Dalmia,Series D,0.0
1810,2015-12-14,Cabsguru,Cab search Comparison & Booking platform,Series D,New Delhi,Prashanth Ranganathan,Seed Funding,"2,00,000"
1811,2015-12-14,Whoop,Performance Optimization Platform for athletes,Series D,Boston,Infosys,Series D,"30,00,000"
1812,2015-12-15,Deal Street Asia,Digital Media Platform,Series D,Singapore,"Vijay Shekhar Sharma, Singapore Angels Network",Seed Funding,0.0
1813,2015-12-15,Streamoid,visual search and discovery platform,Series D,Bangalore / Palo Alto,Undisclosed,Seed Funding,"10,00,000"
1814,2015-12-16,Housejoy,Home services marketplace,Series D,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Series D,"2,25,00,000"
1815,2015-12-16,Bluebirch,End to End reverse logistics Solution platform,Series D,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,"20,00,000"
1816,2015-12-16,MeraDoctor,Virtual Health consultation app,Series D,Mumbai,Unilazer,Series D,"12,00,000"
1817,2015-12-16,STAGE 3,Online Renting platform,Series D,New Delhi,"Nisha Sharma, Puneet Dalmia, Balaji Prabhakar",Seed Funding,0.0
1818,2015-12-17,Eatfresh,Online marketplace for Chef Meals,Series D,Bangalore,Kalaari Capital,Series D,0.0
1819,2015-12-18,Ampere Vehicles,Electric Bike Manufacturers,Series D,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding,"12,00,000"
1820,2015-12-18,Focus Digit,ECommerce platform solutions,Series D,New Delhi,Turning Ideas,Seed Funding,0.0
1821,2015-12-18,The News Minute,Online Media Publication,Series D,Bangalore,Quintillion Media,Seed Funding,0.0
1822,2015-12-18,CBREX,International Hiring Platform,Series D,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,"2,00,000"
1823,2015-12-21,TruckMandi,Logistics Service Provider Marketplace,Series D,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Series D,"20,00,000"
1824,2015-12-21,Peppertap,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,Series D,Gurgaon,Innoven Capital,Series D,"40,00,000"
1825,2015-12-22,Industrybuying,Online Marketplace for Industrial Goods,Series D,New Delhi,"Murugappa Group, TVS Group, Vellayan Subbiah, Arathi Krishna, Arun Venkatachalam",Seed Funding,0.0
1826,2015-12-22,PlanetGogo,Content Discovery & reward points platform,Series D,Gurgaon,HT Digital Media Holdings Ltd,Seed Funding,0.0
1827,2015-12-22,Arya.ai,Artificial Intelligence platform,Series D,Mumbai,"YourNest Angel Fund, Venture Nursery",Series D,"7,50,000"
1828,2015-12-23,LafaLafa,"Digital Coupons, Deal & Cashback aggregator app",Series D,Mumbai,Vectr Ventures,Series D,0.0
1829,2015-12-23,Shotang.com,B2B eCommerce Marketplace,Series D,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Series D,"50,00,000"
1830,2015-12-24,Black White Orange,B2B Merchandize platform,Series D,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,"3,03,000"
1831,2015-12-24,Kolabro,Real Estate focused Tech platform,Series D,Gurgaon,"Umang Kumar, Ruchir Arora & others",Seed Funding,0.0
1832,2015-12-28,Town Essentials,Grocery Delivery platform,Series D,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,"10,00,000"
1833,2015-12-28,Bumper,Mobile Car Servicing appointment app,Series D,Bangalore,SAIF Partners,Seed Funding,"5,00,000"
1834,2015-12-29,Hotify,New Curation Mobile App,Series D,Bangalore,Mahavir Pratap Sharma,Seed Funding,"1,50,000"
1835,2015-12-29,MobiKwik,Mobile Wallet,Series D,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Series D,"66,00,000"
1836,2015-02-11,CityFlo,Bus Aggregation and rental mobile app,Series D,Mumbai,IDG Ventures,Seed Funding,"7,50,000"
1837,2015-03-11,Findyahan,hyperlocal online Services platform,Series D,Noida,Times Group Brand Capital,Series D,0.0
1838,2015-03-11,Sabse,WiFi \xe2\x80\x93 first Cloud communication platform,Series D,Mumbai,Ratan Tata,Series D,0.0
1839,2015-03-11,Pokkt,Alternate Mobile Monetization platform,Series D,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Series D,"50,00,000"
1840,2015-03-11,oibanit,Online Food Ordering Marketplace,Series D,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,"1,50,000"
1841,2015-03-11,Stuffed,Quick Service Restaurant & Online Delivery,Series D,Mumbai,Riqueza Capital,Seed Funding,"3,85,000"
1842,2015-03-11,Deyor Rooms,Budget Hotels Aggregator,Series D,New Delhi,Dheeraj Jain & Others,Seed Funding,"5,00,000"
1843,2015-03-11,Bidgely,Efficient Energy Management platform,Series D,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Series D,"1,66,00,000"
1844,2015-04-11,YourDOST,Online Counselling and psychological support platform,Series D,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,"4,00,000"
1845,2015-05-11,BookMyBai,Domestic Help Aggregation platform,Series D,Mumbai,Vineel Nalla & Others,Seed Funding,"1,50,000"
1846,2015-05-11,MyIndianStay,Home Stay & room rentals platform,Series D,Goa,Undisclosed investors,Seed Funding,"2,00,000"
1847,2015-05-11,Bobble,Selfie Mobile App,Series D,New Delhi,SAIF Partners & others,Series D,0.0
1848,2015-06-11,RepUp,Online Reputation Management Platform,Series D,Gurgaon,Indian Angel Network,Seed Funding,0.0
1849,2015-06-11,Satvacart,Online Grocery platform,Series D,Gurgaon,Undisclosed HNIs,Series D,"18,00,000"
1850,2015-06-11,POPxo.com,Online content platform for women,Series D,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Series D,"20,00,000"
1851,2015-06-11,SparesHub,Online Vehicle Spare Parts etailer,Series D,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,"4,60,000"
1852,2015-06-11,Explara,Event Ticketing platform,Series D,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Series D,"4,90,000"
1853,2015-06-11,Soothe Healthcare,affordable Personal Healthcare Products,Series D,Noida,Saina Nehwal,Seed Funding,0.0
1854,2015-06-11,Yuvi Hospitality,Premium dining Lounges & restaurants,Series D,Gurgaon,Chandralekha Construction Pvt. Ltd.,Series D,"1,50,00,000"
1855,2015-09-11,AppVirality,Mobile Growth Hacking\\nPlatform,Series D,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,"5,00,000"
1856,2015-09-11,iStar Skill Development,Skill Training Startup,Series D,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Series D,"15,00,000"
1857,2015-09-11,BigStylist.com,Beauty and Wellness Marketplace,Series D,Mumbai,Info Edge,Series D,"10,00,000"
1858,2015-09-11,Didi,On-demand Maids Service Provider,Series D,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,"1,50,000"
1859,2015-09-11,Skoov.com,eCommerce Product Search Engine,Series D,Mumbai,undisclosed investor,Seed Funding,"1,50,000"
1860,2015-10-11,Chefs Basket,Ready to cook packaged Foods,Series D,Mumbai,"SAIF Partners, Haresh Chawla",Series D,"60,00,000"
1861,2015-11-11,Delight Foods,Branded Food products online sales,Series D,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Series D,"6,00,000"
1862,2015-11-11,Grab,Hyperlocal Logistics Service Provider,Series D,Mumbai,Sixth Sense Ventures,Seed Funding,0.0
1863,2015-12-11,Hitwicket,Cricket Management Mobile Game,Series D,Hyderabad,Chennai Angels,Seed Funding,"2,50,000"
1864,2015-11-13,Flashdoor,On Demand Laundry Service platform,Series D,Bangalore,"Sujeet Kumar, Ankit Nagori, Traxcn Labs",Seed Funding,0.0
1865,2015-11-16,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,Series D,Gurgaon,Kalaari Capital,Series D,"37,00,000"
1866,2015-11-16,Absentia,Virtual Reality Headset creator,Series D,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,"1,80,000"
1867,2015-11-16,TaskBucks,mobile-only tasks marketplace,Series D,New Delhi,Times Internet,Series D,"1,50,00,000"
1868,2015-11-17,CraftsVilla,Women Ethnic Wear\\xc2\\xa0 Online Marketplace,Series D,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Series D,"3,40,00,000"
1869,2015-11-17,StyleTag,Designer fashion Jewellery Marketplace,Series D,Bangalore,Jitu Virwani,Seed Funding,"75,00,000"
1870,2015-11-17,BiBox,Kids Tool kit for Innovation platform,Series D,Bangalore,Ravi Krishnamurthy,Seed Funding,"5,30,000"
1871,2015-11-18,ScoopWhoop,Viral Content web Platform,Series D,New Delhi,Kalaari Capital,Series D,"40,00,000"
1872,2015-11-18,Hipship,Express local delivery platform,Series D,Bangalore,"Inara Capital , Rishi Khiani",Seed Funding,0.0
1873,2015-11-18,Truelancer,Curated Freelancer Marketplace,Series D,New Delhi,"Blackstone Valley Group, Raghu Vohra, Aditya Dev Sood, Kamal Bansal",Seed Funding,0.0
1874,2015-11-19,AHA Taxis,Online Taxi Rental Platform,Series D,Noida,ah! Ventures,Seed Funding,0.0
1875,2015-11-19,SenseGiz,Smartwatch Maker,Series D,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,"5,00,000"
1876,2015-11-19,PlaceofOrigin,Online Gourmet Food Marketplace,Series D,Bangalore,"S.D. Shibulal, Kris Gopalakrishnan, Srinath Batni, Professor Tarun Khanna,\\xc2\\xa0 Ganapathy Venugopal.",Seed Funding,0.0
1877,2015-11-19,Fourseven,Online Jewellery etailer,Series D,New Delhi,Indian Angel Network,Seed Funding,"4,55,000"
1878,2015-11-20,Shopsense,ecommerce related software product platform,Series D,Mumbai,"Kae Capital, Kunal Bahl, Rohit Bansal",Seed Funding,0.0
1879,2015-11-20,OUWT,Nightlife Discovery Mobile App,Series D,Mumbai,Undisclosed investors,Seed Funding,"1,50,000"
1880,2015-11-20,HeyPillow,Online Real Estate Marketplace,Series D,Bangalore,Hampton Capital,Series D,"30,00,000"
1881,2015-11-21,Healers At Home,"Home Healthcare Services platform,",Series D,New Delhi,"Daljit Singh, Dr. Pramath Raj Sinha, BVR Mohan Reddy",Seed Funding,0.0
1882,2015-11-21,Caravan Craft,Indian Ethnic Crafts Etailer,Series D,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Series D,"12,00,000"
1883,2015-11-21,Talkoot,Social platform for traders and investors,Series D,Bangalore,Undisclosed investors,Seed Funding,"1,00,000"
1884,2015-11-23,RentoMojo,"Online Furniture, Home Appliances Rental Platform",Series D,Bangalore,"IDG Ventures India,\\xc2\\xa0 Accel Partners India",Series D,"20,00,000"
1885,2015-11-23,Medikoe,Healthcare Services Discovery platform,Series D,Bangalore,Anil Menon,Seed Funding,"1,00,000"
1886,2015-11-24,ServX,Automotive Services platform,Series D,New Delhi,Manish Gupta,Seed Funding,0.0
1887,2015-11-24,Naaptol,Online and TV Shopping Marketplace,Series D,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Series D,"5,20,00,000"
1888,2015-11-25,EarlySalary.com,Mobile App based Loan disbursement platform,Series D,Mumbai,Ashok Agarwal,Seed Funding,"15,00,000"
1889,2015-11-25,Tooler,On Demand Laundry Services App,Series D,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,"1,10,000"
1890,2015-11-25,S Chand,Education Content Provider,Series D,New Delhi,IFC Everstone Group,Series D,"2,70,00,000"
1891,2015-11-26,Stelae,Content Management Software Solutions,Series D,Chennai,Earlsfield Capital,Series D,0.0
1892,2015-11-26,GoQii,Fitness Tracking Management Solutions,Series D,Mumbai,"New Enterprise Associates, Cheetah Mobile",Series D,"1,34,00,000"
1893,2015-11-26,Pluss,Hyperlocal healthcare product Delivery Service provider,Series D,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Series D,"10,00,000"
1894,2015-11-26,KountMoney,Online Lending Marketplace,Series D,Bangalore,"Tracxn, Ashish Goenka & Others",Seed Funding,0.0
1895,2015-11-27,StayGlad,On Demand Beauty Services Platform,Series D,Bangalore,"Bessemer Venture Partners, Anil Chopra",Series D,0.0
1896,2015-11-27,LearnOn,Clud based Learning platform,Series D,Chennai,JMR Infotech India Pvt Ltd,Seed Funding,0.0
1897,2015-11-27,Talentrack,Talent Exchange & Talent Services Marketplace,Series D,New Delhi,Unigrowth Inc,Seed Funding,0.0
1898,2015-11-28,M-TAXI,Two-Wheeler Taxi Service,Series D,Gurgaon,"Mandeep Singh, Jairaj Singh",Seed Funding,0.0
1899,2015-11-30,Baxi,Two-Wheeler Taxi Service,Series D,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,"14,50,000"
1900,2015-11-30,Superhero Brands,character merchandize sales platform,Series D,Mumbai,DSG Consumer Partners,Seed Funding,"5,40,000"
1901,2015-11-30,MoMagic,Mobile Application Developer,Series D,New Delhi,FIH Mobile Ltd,Series D,0.0
1902,2015-11-30,QikPod,Ecommerce Delivery locker services,Series D,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Series D,"90,00,000"
1903,2015-11-30,Butterfly Interactive,extra curricular activities marketplace app,Series D,New Delhi,Undisclosed investors,Seed Funding,0.0
1904,2015-11-30,Bro4U,Hyperlocal Online Home services provider,Series D,Bangalore,Sargod Ventures,Seed Funding,0.0
1905,2015-01-10,EasyFix,Professional Services Marketplace,Series D,Gurgaon,Axilor Ventures,Seed Funding,0.0
1906,2015-01-10,Muvizz,Movie-on-demand platform,Series D,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,"3,50,000"
1907,2015-01-10,Abhibus,us ticketing and fleet management platform,Series D,Hyderabad,Paytm (One97 communications),Series D,0.0
1908,2015-02-10,Shopalyst,Product discovery & recommendation platform,Series D,Bangalore,Kalaari Capital,Series D,"20,00,000"
1909,2015-05-10,Voylla,Fashion jewelry and accessories e-tailer,Series D,Jaipur,Peepul Capital,Series D,"1,50,00,000"
1910,2015-05-10,IndiaLends,Online Consumer Lending platform,Series D,New Delhi,"DSG consumer Partners, Paragon Partners",Series D,"10,00,000"
1911,2015-05-10,Rock N Shop,Premium Apparel shopping portal,Series D,New Delhi,High Networth Individuals (undisclosed),Seed Funding,"1,50,000"
1912,2015-06-10,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,Series D,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,"7,00,000"
1913,2015-06-10,SportzVillage,Sports Management & Physical Education Business,Series D,Bangalore,Gaja Capital Private  Fund,Series D,"1,00,00,000"
1914,2015-06-10,SportyBeans,multi-sport program for preschoolers,Series D,Pune,YouWeCan Ventures,Seed Funding,0.0
1915,2015-06-10,Welcome Cure,Online Homeopathy Clinic,Series D,Mumbai,Unnamed Media house and HNIs,Series D,"60,00,000"
1916,2015-07-10,SchoolGuru,E-Learning Service Provider,Series D,Mumbai,High Networth Individuals from India & USA,Series D,"30,00,000"
1917,2015-07-10,Naturally Yours,Organic Food etailer,Series D,Mumbai,Sanjay Mehta,Seed Funding,0.0
1918,2015-07-10,GoJavas,Delivery & Logistics Service provider,Series D,Gurgaon,Snapdeal,Series D,"2,00,00,000"
1919,2015-08-10,ZuperMeal,Home Cooked Food marketplace & Delivery,Series D,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Series D,"20,00,000"
1920,2015-08-10,Cube26,Gesture based Mobile Development,Series D,New Delhi,"Tiger Global Management, Flipkart",Series D,"77,00,000"
1921,2015-08-10,Grabhouse,Rental Accommodation Search platform,Series D,Bangalore,Sequoia and Kalaari Capital.,Series D,"1,00,00,000"
1922,2015-08-10,Quifers,Logistics Tech Platform,Series D,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,"3,10,000"
1923,2015-09-10,Cloud Lending,End-to-End Lending platform,Series D,Bangalore / San Mateo,SF Capital Group,Series D,"80,00,000"
1924,2015-09-10,Inayo,on-demand healthcare marketplace,Series D,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,"3,00,000"
1925,2015-09-10,WoNoBo,360-degree view creating platform,Series D,Bangalore,Quikr,Series D,0.0
1926,2015-09-10,Kulzy,Advertising & Marketing Community Networking platform,Series D,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,"10,00,000"
1927,2015-09-10,Zeppery,Food Ordering & Delivery App,Series D,New Delhi,Suyash Sharma,Seed Funding,"77,000"
1928,2015-12-10,Zify,Ride Sharing platform,Series D,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,"1,90,000"
1929,2015-12-10,Gridle,Cloud Based Collaboration platform,Series D,Ahmedabad,LetsVenture,Seed Funding,"1,00,000"
1930,2015-12-10,Mubble,Prepaid Bill manager App,Series D,Bangalore,Accel Partners,Series D,0.0
1931,2015-10-13,Voodoo,Mobile Only Shopping Assistant,Series D,New Delhi,SAIF Partners,Seed Funding,"10,00,000"
1932,2015-10-13,Lookup,Mobile Messaging Assistant App,Series D,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Series D,"25,00,000"
1933,2015-10-14,AskMyGift,Personalized Wish List creator app,Series D,Noida,Turning Ideas,Seed Funding,"50,000"
1934,2015-10-14,Gaana.com,Music Streaming mobile app,Series D,Mumbai,Micromax Informatics Ltd,Series D,0.0
1935,2015-10-14,GymTrekker,Gym Discovery platform,Series D,Mumbai,"Dewang Neralla,Roopak Taneja, Manisha Gupta",Seed Funding,0.0
1936,2015-10-15,Bounty App,Online Purchase rewards app,Series D,Bangalore,"Fireside Ventures, Mumbai Angels MAPE Advisory Group.",Seed Funding,0.0
1937,2015-10-16,Homers.in,Home rental platform,Series D,Gurgaon,"Devesh Rai G, Rajesh Aggarwal, Amitpal Bhutani",Seed Funding,0.0
1938,2015-10-16,mShipper,Crowdsourced Delivery platform,Series D,New Delhi,Vijai Laxmi,Seed Funding,0.0
1939,2015-10-16,BolRealty,Real Estate Insights platform,Series D,New Delhi,Manpreet Singh,Seed Funding,0.0
1940,2015-10-17,S-Cube Futuretech,Structural & Civil Engg Service Automation,Series D,Mumbai,Parampara Capital,Series D,"10,00,000"
1941,2015-10-19,LetsVenture,Startup Funding Marketplace,Series D,Bangalore,"Accel Partners, Anupam Mittal & other marquee investors",Series D,0.0
1942,2015-10-19,Citrus Payment,Payments Solution platform,Series D,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Series D,"2,50,00,000"
1943,2015-10-19,Holidify,Travel Destination Discovery platform,Series D,New Delhi,Aarti Group,Seed Funding,"1,00,000"
1944,2015-10-20,PrimaSeller,Order Fulfillment SAAS platform,Series D,Bangalore,"Dr. Aniruddha Malpani Manish Gupta, M&S Partners & others",Seed Funding,0.0
1945,2015-10-20,Opinio,Last Mile Delivery Service,Series D,Bangalore,"Delhivery, Sands Capital and Accel Partners",Series D,"70,00,000"
1946,2015-10-20,Attune Technologies,Healthcare IT Solutions & services,Series D,Chennai,"Qualcomm Venture, Norwest Venture Partners",Series D,"1,00,00,000"
1947,2015-10-20,iChef.in,Gourmet Meals Delivery,Series D,Mumbai,Springboard Ventures,Series D,0.0
1948,2015-10-21,Jiyo Natural,Healthy Meals Food delivery platform,Series D,Bangalore,Indian Angel Network,Seed Funding,0.0
1949,2015-10-21,AgentDesks,Real Estate Mobile CRM,Series D,New York/ India,"Sierra Ventures, Cota Capital, Vegas Tech Fund",Seed Funding,"29,50,000"
1950,2015-10-21,White Owl Brewery,Micro-Brewery,Series D,Mumbai,"Arihant Patni, RAAY Global Investments",Series D,"15,30,000"
1951,2015-10-21,MealHopper,Home Made Food Marketplace,Series D,Gurgaon,"Alok Bajpai, Rajnish Kumar, Amit Dey",Seed Funding,"1,00,000"
1952,2015-10-21,Zenify.in,residential rental management platform,Series D,Bangalore,"Atul Jalan, Shrikanth & Bharath",Seed Funding,"6,40,000"
1953,2015-10-23,Medd,Personal Diagnostic Mobile App,Series D,Mumbai,Group of Angel investors,Seed Funding,"1,50,000"
1954,2015-10-23,Leaping Caravan,Online food ordering & Delivery service,Series D,Gurgaon,Group of Angel investors,Seed Funding,"1,50,000"
1955,2015-10-23,Frsh,Online food ordering & Delivery service,Series D,Gurgaon,"Mumbai Angels, Mayank Bhangdia, Kae Capital",Series D,"10,00,000"
1956,2015-10-23,Qik Stay,Hotel Aggregator & booking platform,Series D,New Delhi,ID Enablers Pvt Ltd,Seed Funding,"2,50,000"
1957,2015-10-26,Parcelled,Online Logistics Platform,Series D,Bangalore,Delhivery,Series D,"50,00,000"
1958,2015-10-26,AlmaMapper,Online Student & Campus Social Networking platform,Series D,Ahmedabad,Oswal Techno Ventures LLP,Seed Funding,"4,00,000"
1959,2015-10-26,Flexing It,Professionals & Project Search Marketplace,Series D,New Delhi,undisclosed private investors,Seed Funding,"5,00,000"
1960,2015-10-26,Netmeds.com,Online Pharmacy,Series D,Chennai,"OrbiMed, Pradip Dadha Group",Series D,"5,00,00,000"
